"Feature","Client value","Implementation status","Evidence","Acceptance evidence"
"Tenant-enabled Field Sales workspace","Turn FSM on per client without affecting CRM","Implemented","migrations/add-mizantra-fsm.sql; apps/web/src/app/dashboard/fsm/page.tsx","AT-35 static"
"Role and object-level security","Representatives see their work; managers see governed team scope","Implemented","apps/api/src/fsm/fsm.service.ts; apps/api/src/auth/guards/permissions.guard.ts","AT-01 to AT-03 static"
"CRM account and contact reuse","One customer truth across office and field teams","Implemented","fsm_customer_sites.account_id; crm_contacts references","AT-04 static"
"Multiple customer sites","Plan and visit branches, offices and project locations","Implemented","fsm_customer_sites; GET/POST/PATCH /fsm/sites","API contract inspection"
"Territories and effective assignments","Control who covers each customer over time","Implemented","fsm_account_assignments; crm_territories","AT-02 static"
"Mobile My Day","Clear customer, site, time, purpose and status cards","Implemented","docs/fsm/screenshots/fsm-my-day-mobile.png","AT-36 partial pass"
"Visit lifecycle","Travel, check in, report and complete with controlled states","Implemented","fsm.domain.ts; fsm_visit_events","AT-14 pass"
"Location evidence","Freshness, accuracy, distance and exception classification","Implemented","evaluateLocation; fsm_location_reviews","AT-12 pass"
"Independent exception review","Managers approve/reject evidence without self-approval","Implemented","reviewException","AT-03 static"
"Private field attachments","Secure photos/PDFs with short-lived authorised links","Implemented","fsm_attachments; /fsm/attachments/:id/url","AT-17 static"
"Recurring visit planning","Generate weekly, fortnightly and custom coverage without duplicates","Implemented","recurrenceDates; uq_fsm_visit_occurrence","AT-05 pass"
"Published plan revisions","Protect commitments and history when plans change","Implemented","fsm_visit_plans revision/baseline","AT-07 and AT-34 static"
"Explainable recommendations","Prioritise customer coverage with visible reasons","Implemented","recommendationScore; /fsm/recommendations","Screenshot route mobile"
"Safe route fallback","Work continues when a road-routing provider is absent","Implemented","/fsm/routes/preview","AT-09 pass"
"Durable offline outbox","Save visits/reports/commitments and sync later","Implemented","apps/web/src/lib/fsm-offline.ts","AT-18 to AT-26 static"
"Idempotent mixed sync","Prevent duplicate records after retries or lost responses","Implemented","fsm_sync_operations; /fsm/sync/batch","AT-20 pass; AT-21 static"
"Live commercial context","See CRM opportunities, ERP quotations and invoices from one visit","Implemented","/fsm/visits/:id/commercial","AT-27 static"
"Visit attribution","Link field activity to existing quotations, orders and invoices","Implemented","fsm_commercial_links","AT-33 static"
"Collection promises","Capture promise-to-pay without falsely reducing receivables","Implemented","fsm_collection_promises","AT-29 static"
"WhatsApp integration","Prepare consent-aware drafts and send through the existing governed connector","Implemented as draft adapter","/fsm/visits/:id/whatsapp-draft; /whatsapp/send","AT-30 static"
"Manager performance view","Track plan, completion, missed and verified-location KPIs","Implemented","/fsm/manager/dashboard; Team tab","Metrics inspection"
"Tenant policy controls","Configure timezone, hours, GPS and report requirements","Implemented","fsm_settings; Settings tab","API/UI inspection"
"Audit-ready history","Preserve append-only events, versions and review decisions","Implemented","fsm_visit_events; activity_logs","AT-15 static"
"Mizantra bot field-sales answers","Ask in everyday English for today’s visits, priority customers or location reviews","Implemented read-only","conversational-analytics.service.ts; fsm-bot-intent.spec.ts","Plain-language Jest pass; AT-31 static"
